Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
1205,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.36741089063233
1210,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.55643184517193
1215,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.48987181875917
1220,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.17664910032788
1225,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.32026871785322
1230,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.26332547104668
1235,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.62424390328185
1240,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.01230691437466
1245,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.34294368485298
1250,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.99572384603789
1255,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.17483585401494
1260,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.64767184151782
1265,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.69577688638378
1270,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.10461376196524
1275,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.89098914961399
1280,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.01503435205305
1285,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.55450110087794
1290,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.70622660477657
1295,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.190647627758
1300,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.21896866439566
1305,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.43659398811074
1310,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.42375781532053
1315,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.89713931308134
1320,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.98115241749392
1325,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.0489103648846
1330,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.41253471479686
1335,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.37684563464668
1340,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.73845528613506
1345,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.72006222956952
1350,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.88014462427067
1355,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.20876752319798
1360,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.06862613660954
1365,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.98687746200274
1370,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.97156349217016
1375,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.72872325349489
1380,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.638860750271746
1385,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.98329945774735
1390,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.916768814585055
1395,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.31897231590964
1400,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.55551375334848
1405,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.720387636330344
1410,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.90001271551226
1415,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.46469915690962
1420,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.39965902973651
1425,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.1837658053245
1430,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.40381878654837
1435,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.95083157087811
1440,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.35448078842545
1445,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.5014736695987
1450,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.17556572010214
