Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
1375,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.353168365751097
1380,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35478626315427075
1385,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3524734288697481
1390,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3536720133848875
1395,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35431981201740725
1400,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3561665171836462
1405,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3554905596942205
1410,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.356220867799906
1415,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3542847619599908
1420,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3563159684121
1425,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3550843085463148
1430,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35255628648216353
1435,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3521251421098647
1440,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3527322073252226
1445,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35213674729780453
1450,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3499973131292029
1455,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3526887987845242
1460,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3534522311518228
1465,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35317792213523447
1470,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35374119599983955
1475,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3529600306906946
1480,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3526327094145426
1485,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3507477459232685
1490,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35079174918735256
1495,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3507827476935934
1500,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.34886299521983555
